time,voltage
NaN,1
NaN,NaN
-740,0.0963600737477958
-737.5,0.0971051258648645
-735,0.0976018272754522
-732.5,0.098098528687227
-730,0.0993402822148834
-727.5,0.100333685036059
-725,0.099836983625471
-722.5,0.101575438564902
-720,0.101078737153127
-717.5,0.101078737153127
-715,0.099836983625471
-712.5,0.10058203574254
-710,0.099836983625471
-707.5,0.0983468793925208
-705,0.0948699695148456
-702.5,0.0903996568148079
-700,0.0827007849435758
-697.5,0.0740085102499813
-695,0.062832728501074
-692.5,0.0524019988680483
-690,0.043213022763866
-687.5,0.0347690987755653
-685,0.0273185776096271
-682.5,0.0201164071489828
-680,0.01365928880422
-677.5,0.00819557328300684
-675,0.00521536481591929
-672.5,0.00223515635001888
-670,0.00173845493943119
-667.5,0.000993402822362516
-665,0.00124175352765636
-662.5,0.000745052117068672
-660,0.000745052117068672
-657.5,0.000745052117068672
-655,0.000745052117068672
-652.5,0.00124175352765636
-650,0.00248350705531272
-647.5,0.00248350705531272
-645,0.00273185776060657
-642.5,0.00298020846708755
-640,0.00273185776060657
-637.5,0.00447031270003775
-635,0.00571206622769412
-632.5,0.00720217046064432
-630,0.0104307296330257
-627.5,0.01365928880422
-625,0.0144043409212887
-622.5,0.0168878479766014
-620,0.0186263029148454
-617.5,0.0183779522095516
-615,0.0193713550319141
-612.5,0.0188746536213264
-610,0.019619705737208
-607.5,0.0188746536213264
-605,0.0193713550319141
-602.5,0.019619705737208
-600,0.0193713550319141
-597.5,0.0188746536213264
-595,0.0193713550319141
-592.5,0.0193713550319141
-590,0.0211098099701582
-587.5,0.0238416677319519
-585,0.0243383691425396
-582.5,0.0278152790202148
-580,0.0300504353702337
-577.5,0.0322855917202526
-575,0.050911894635098
-572.5,0.0531470509851169
-570,0.0598525200339864
-567.5,0.0675513919064056
-565,0.0717733538999624
-562.5,0.0735118088393936
-560,0.0752502637776376
-557.5,0.0752502637776376
-555,0.0742568609552751
-552.5,0.074505211660569
-550,0.0730151074276188
-547.5,0.0732634581329126
-545,0.0715250031946685
-542.5,0.0697865482552374
-540,0.0700348989617183
-537.5,0.068544794727581
-535,0.0673030411999246
-532.5,0.0668063397893369
-530,0.0668063397893369
-527.5,0.0663096383787493
-525,0.0673030411999246
-522.5,0.0665579890840431
-520,0.0670546904946308
-517.5,0.0675513919064056
-515,0.0732634581329126
-512.5,0.0735118088393936
-510,0.0735118088393936
-507.5,0.0754986144829315
-505,0.0804656285935569
-502.5,0.074505211660569
-500,0.0769887187158817
-497.5,0.0772370694223627
-495,0.0787271736553129
-492.5,0.0774854201276565
-490,0.0797205764776754
-487.5,0.0802172778882631
-485,0.0817073821212133
-482.5,0.082452434238282
-480,0.0836941877659383
-477.5,0.0844392398818199
-475,0.0839425384712322
-472.5,0.0831974863541635
-470,0.0829491356488697
-467.5,0.0827007849435758
-465,0.0831974863541635
-462.5,0.082452434238282
-460,0.0831974863541635
-457.5,0.0817073821212133
-455,0.0829491356488697
-452.5,0.082452434238282
-450,0.0822040835329881
-447.5,0.0829491356488697
-445,0.084190889176526
-442.5,0.0814590314159195
-440,0.0809623300053317
-437.5,0.0809623300053317
-435,0.082452434238282
-432.5,0.078478822950019
-430,0.0797205764776754
-427.5,0.0802172778882631
-425,0.0794722257711944
-422.5,0.0799689271829693
-420,0.0787271736553129
-417.5,0.0802172778882631
-415,0.0809623300053317
-412.5,0.0807139792988508
-410,0.0804656285935569
-407.5,0.0817073821212133
-405,0.0834458370606445
-402.5,0.0836941877659383
-400,0.0859293441159572
-397.5,0.0849359412935947
-395,0.0866743962318388
-392.5,0.0874194483489074
-390,0.0856809934106634
-387.5,0.0871710976436136
-385,0.0869227469371326
-382.5,0.0859293441159572
-380,0.0851842919988886
-377.5,0.0849359412935947
-375,0.0839425384712322
-372.5,0.0836941877659383
-370,0.0819557328276943
-367.5,0.0827007849435758
-365,0.0831974863541635
-362.5,0.082452434238282
-360,0.0827007849435758
-357.5,0.082452434238282
-355,0.0822040835329881
-352.5,0.0822040835329881
-350,0.0844392398818199
-347.5,0.0844392398818199
-345,0.0851842919988886
-342.5,0.0861776948212511
-340,0.0869227469383198
-337.5,0.0869227469371326
-335,0.0874194483489074
-332.5,0.0876677990542013
-330,0.0879161497594951
-327.5,0.08841285117127
-325,0.0889095525818576
-322.5,0.0886612018765638
-320,0.0889095525818576
-317.5,0.0889095525818576
-315,0.0896546046989263
-312.5,0.0891579032871515
-310,0.0886612018765638
-307.5,0.0889095525818576
-305,0.0894062539936324
-302.5,0.0903996568148079
-300,0.08841285117127
-297.5,0.0896546046989263
-295,0.0894062539936324
-292.5,0.0908963582265827
-290,0.0903996568148079
-287.5,0.0911447089318765
-285,0.0916414103424642
-282.5,0.0906480075212888
-280,0.0911447089318765
-277.5,0.0923864624595329
-275,0.0936282159871893
-272.5,0.0916414103424642
-270,0.0921381117542391
-267.5,0.0918897610489452
-265,0.0923864624595329
-262.5,0.0926348131648267
-260,0.0923864624595329
-257.5,0.0926348131648267
-255,0.0923864624595329
-252.5,0.0933798652818954
-250,0.0928831638701206
-247.5,0.0931315145766016
-245,0.0933798652818954
-242.5,0.0923864624595329
-240,0.0936282159871893
-237.5,0.0931315145766016
-235,0.0943732681042579
-232.5,0.0943732681042579
-230,0.0951183202201395
-227.5,0.0958633723372081
-225,0.0966084244530897
-222.5,0.0966084244530897
-220,0.0971051258648645
-217.5,0.098098528687227
-215,0.0976018272754522
-212.5,0.0990919315095895
-210,0.0988435808031086
-207.5,0.0990919315095895
-205,0.0988435808031086
-202.5,0.0985952300978147
-200,0.0988435808031086
-197.5,0.0985952300978147
-195,0.098098528687227
-192.5,0.0985952300978147
-190,0.0990919315084024
-187.5,0.0978501779807461
-185,0.0973534765701584
-182.5,0.098098528687227
-180,0.0973534765701584
-177.5,0.0963600737477958
-175,0.0956150216319143
